"FIRST_NAME","SALARY","REGION_NAME","CITY","COUNTRY_NAME"
"Amit",6200,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Lisa",11500,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Harrison",10000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Tayler",9600,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"William",7400,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Elizabeth",7300,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Sundita",6100,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Ellen",11000,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Alyssa",8800,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Jonathon",8600,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Jack",8400,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Charles",6200,"Europe","Oxford","United Kingdom of Great Britain and Northern Ireland"
"Winston",3200,"Americas","South San Francisco","United States of America"
"Jean",3100,"Americas","South San Francisco","United States of America"
"Martha",2500,"Americas","South San Francisco","United States of America"
"Girard",2800,"Americas","South San Francisco","United States of America"
"Nandita",4200,"Americas","South San Francisco","United States of America"
"Alexis",4100,"Americas","South San Francisco","United States of America"
"Julia",3400,"Americas","South San Francisco","United States of America"
"Anthony",3000,"Americas","South San Francisco","United States of America"
"Kelly",3800,"Americas","South San Francisco","United States of America"
"Jennifer",3600,"Americas","South San Francisco","United States of America"
"Timothy",2900,"Americas","South San Francisco","United States of America"
"Randall",2500,"Americas","South San Francisco","United States of America"
"Sarah",4000,"Americas","South San Francisco","United States of America"
"Britney",3900,"Americas","South San Francisco","United States of America"
"Samuel",3200,"Americas","South San Francisco","United States of America"
"Vance",2800,"Americas","South San Francisco","United States of America"
"Alana",3100,"Americas","South San Francisco","United States of America"
"Kevin",3000,"Americas","South San Francisco","United States of America"
"Donald",2600,"Americas","South San Francisco","United States of America"
"Douglas",2600,"Americas","South San Francisco","United States of America"
"Jennifer",4400,"Americas","Seattle","United States of America"
"Michael",13000,"Americas","Toronto","Canada"
"Pat",6000,"Americas","Toronto","Canada"
"Susan",6500,"Europe","London","United Kingdom of Great Britain and Northern Ireland"
"Hermann",10000,"Europe","Munich","Germany"
"Shelley",12008,"Americas","Seattle","United States of America"
"William",8300,"Americas","Seattle","United States of America"
